zone,tract,area
0,G37006300005,2.4635005439402444e-6
0,G37006300006,1.6590299297028513e-7
0,G3700630001501,2.1988845283775417e-6
1,G37006300005,5.1890328163779855e-5
1,G37006300006,2.0383160708919532e-7
1,G37006300007,4.811582119790235e-8
2,G3700630000301,4.192089592645978e-5
2,G3700630000302,1.9006887472258666e-6
2,G3700630000401,1.0907900764927597e-5
2,G3700630000402,9.661487783023852e-5
2,G3700630001503,3.331476511981049e-7
3,G3700630000401,3.293694701193565e-5
3,G3700630000402,1.6107009600791205e-8
4,G3700630000301,6.264071792242974e-6
4,G3700630000302,6.631568798353744e-5
4,G3700630000802,1.2550956347051307e-6
5,G3700630000101,6.290506940047032e-9
5,G37006300002,2.4421988538222764e-5
6,G37006300007,9.280299855972407e-5
7,G3700630000401,3.2821282622042085e-5
8,G3700630000401,7.424803535520949e-6
8,G3700630000402,5.906666969503068e-6
9,G37006300002,2.7806320945086518e-5
9,G3700630000302,2.8269880782937763e-7
9,G3700630000802,6.545399197604702e-7
10,G3700630000801,2.951383734495953e-6
10,G37006300011,7.10986094845657e-6
11,G3700630001001,2.946912709603593e-6
12,G37006300006,1.0594069660586909e-5
13,G37006300005,4.008652534681729e-7
13,G37006300007,4.0891630395106327e-5
14,G37006300006,1.969994512120721e-5
14,G37006300007,5.627392981005399e-7
16,G37006300002,8.34504212221343e-6
16,G3700630000801,2.9951754858896315e-6
16,G3700630000802,5.548903490759707e-5
16,G37006300009,3.5211564383154034e-5
16,G3700630001001,7.990840476207868e-5
16,G3700630001002,4.620380302223975e-5
16,G37006300011,2.379163191177787e-5
17,G3700630000101,8.390146255063552e-6
17,G3700630000102,1.4039893499892385e-4
17,G37006300002,8.616569822924619e-7
17,G3700630000301,6.598047824440029e-5
17,G3700630000302,3.0726352954321874e-5
17,G3700630000401,2.7646305534149704e-5
17,G3700630001705,1.470872995824196e-7
18,G37006300005,8.098891711739484e-5
18,G37006300006,6.0685536194222605e-6
18,G37006300007,3.0466973520501283e-5
18,G3700630001501,1.2548784550994335e-6
19,G37006300005,1.5924919798115015e-5
19,G37006300006,1.1905398736310907e-4
19,G37006300007,2.0369354159398197e-5
20,G37006300007,3.250727108268214e-5
20,G3700630001201,2.4442805391195916e-6
21,G3700630001201,1.65277109284042e-7
21,G3700630001202,3.0852657574238524e-6
21,G3700630001301,2.5703391933441943e-5
21,G3700630001303,2.911319571459677e-5
22,G3700630000301,2.4071714805358144e-5
23,G37006300009,6.147819668790115e-5
23,G3700630001002,1.6083712526994433e-5
24,G3700630001001,5.336224499390642e-5
24,G37006300011,8.674076794614271e-5
25,G37006300005,5.000390651344854e-6
25,G3700630001501,3.6933725644671e-6
25,G3700630001502,3.69950320638691e-5
26,G37006300007,2.0485100507311224e-7
26,G3700630001201,5.618826660037675e-5
26,G3700630001202,5.311696441168758e-5
26,G3700630001301,4.666347240387894e-5
26,G3700630001303,2.826957840274162e-5
26,G37006300014,7.627262257691212e-5
27,G3700630000401,1.622813798090662e-5
27,G3700630000402,2.7850936485110858e-6
27,G3700630001502,4.5365897776703355e-6
28,G3700630000101,7.273487335829072e-5
28,G37006300002,9.754910099393153e-5
28,G37006300007,1.0733919544434334e-5
28,G37006300009,4.253915771262063e-6
28,G3700630001001,6.857221160313445e-5
28,G3700630001002,1.2950918628885832e-4
28,G3700630001301,7.878817863681971e-7
28,G3700630001303,4.1593163897648986e-5
28,G3700630001304,4.353004424213388e-6
28,G37006300014,9.214203540964344e-5
28,G3700630001802,1.0048477064011018e-5
28,G3700630002009,2.2664437200754754e-5
29,G3700630001001,8.701177033946334e-6
30,G37006300005,4.575301278899944e-5
30,G37006300006,7.65957489381682e-6
30,G3700630001501,1.959151331993064e-5
30,G3700630001502,2.5946587515054147e-6
31,G37006300002,1.6492310606258585e-6
31,G3700630000302,2.6101949161357135e-6
31,G3700630000401,3.2283662331817406e-8
31,G3700630000402,2.209843661806799e-5
31,G37006300005,1.2214993440050048e-5
31,G37006300007,1.1299731812512834e-5
31,G3700630000801,3.408517578537039e-5
31,G3700630000802,4.508424251264949e-5
31,G3700630001001,1.5160331918537901e-6
31,G37006300011,1.9400242786567296e-5
31,G3700630001201,1.591503858705206e-5
31,G3700630001202,2.9750852214072803e-6
31,G37006300014,2.318288900174613e-6
31,G3700630001502,1.1566441225171433e-6
31,G3700630001503,3.7461381886571164e-6
15,G3700630000101,4.815645448952198e-5
15,G3700630000102,5.560767774630609e-6
15,G37006300002,1.0037804552344998e-4
15,G3700630000301,9.281019439066363e-7
15,G3700630000302,6.925715967132933e-5
15,G3700630000802,4.206847978807682e-6
15,G37006300009,2.343285470873111e-6
